Features,*[VRelProm] -> /Unstress/,*[V] -> /VV/,*[0] -> /Vfull/,*[0] -> /Vweak/,*[V] -> /Vweak/,*/VV/ -> |V|,*/V/ -> |VV|,*/Vfull/ -> |Vweak|,*/Vweak/ -> |Vfull|,*|Vfull| -> /Vweak/,*|Vweak| -> [Vfull],*|V| -> /VV/,*|VV| -> /V/,*/Vfull/ -> 0,*/Vweak/ -> V,*/V/ -> [VV],*/VV/ -> [V],*/alpha stress/ -> [-alpha stress],*/Unstress-iFull/,*/Unstress-Vfull/,*/Vweak/,*/StressVweak/,/FootBin/,/Align-PWd.R.Ft.R/,/Align-PWd.L.Ft.L/,/Align-Ft.R.PWd.R/,,
Transition,|minisita|,(2)/minisi(t'aa)/,,,,,,,,,,,,1,,,,,,,0,1,,,,,,
Transition,|minisita|,(2)/mini(s'Ita)/,,,,,,,,,,1,,,,,,,,,0,1,1,1,,,,
Transition,|minisita|,(2)/minisI(t'a)/,,,,,,,,,,1,,,,,,,,,0,,1,,1,,,
Transition,|minisItaa|,(2)/mini(s'ita)/,,,,,,,,,,,1,,1,,,,,,0,1,,,,,,
Transition,|minisItaa|,(2)/minisi(t'a)/,,,,,,,,,,,1,,1,,,,,,0,1,,,1,,,
Transition,|minisItaa|,(2)/minisI(t'aa)/,,,,,,,,,,,,,,,,,,,0,,1,,,,,
Transition,|minisItaa|,(2)/minisi(t'aa)/,,,,,,,,,,,1,,,,,,,,0,1,,,,,,
Transition,|minisItaa|,(2)/mini(s'Ita)/,,,,,,,,,,,,,1,,,,,,0,1,1,1,,,,
Transition,|minisItaa|,(2)/minisI(t'a)/,,,,,,,,,,,,,1,,,,,,0,,1,,1,,,
Transition,|minisIta|,(2)/mini(s'ita)/,,,,,,,,,,,1,,,,,,,,0,1,,,,,,
Transition,|minisIta|,(2)/minisi(t'a)/,,,,,,,,,,,1,,,,,,,,0,1,,,1,,,
Transition,|minisIta|,(2)/minisI(t'aa)/,,,,,,,,,,,,1,,,,,,,0,,1,,,,,
Transition,|minisIta|,(2)/minisi(t'aa)/,,,,,,,,,,,1,1,,,,,,,0,1,,,,,,
Transition,|minisIta|,(2)/mini(s'Ita)/,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,
Transition,|minisIta|,(2)/minisI(t'a)/,,,,,,,,,,,,,,,,,,,0,,1,,1,,,
Transition,(2)/mini(s'ita)/,[mini(s'ita)],,,,,,,,,,,,,,,,,,,,,,,,,,
Transition,(2)/mini(s'ita)/,[minisi(t'a)],,,,,,,,,,,,,,,,,,1,,,,,,,,
Transition,(2)/mini(s'ita)/,[minis(t'aa)],,,,,,,,,,,,,,1,,1,,1,,,,,,,,
Transition,(2)/mini(s'ita)/,[minisi(t'aa)],,,,,,,,,,,,,,,,1,,1,,,,,,,,
Transition,(2)/mini(s'ita)/,[minis(t'a)],,,,,,,,,,,,,,1,,,,1,,,,,,,,
Transition,(2)/minisi(t'a)/,[mini(s'ita)],,,,,,,,,,,,,,,,,,1,,,,,,,,
Transition,(2)/minisi(t'a)/,[minisi(t'a)],,,,,,,,,,,,,,,,,,,,,,,,,,
Transition,(2)/minisi(t'a)/,[minis(t'aa)],,,,,,,,,,,,,,1,,1,,,,,,,,,,
Transition,(2)/minisi(t'a)/,[minisi(t'aa)],,,,,,,,,,,,,,,,1,,,,,,,,,,
Transition,(2)/minisi(t'a)/,[minis(t'a)],,,,,,,,,,,,,,1,,,,,,,,,,,,
Transition,(2)/minisI(t'aa)/,[mini(s'ita)],,,,,,,,,,,,,,,1,,1,1,,,,,,,,
Transition,(2)/minisI(t'aa)/,[minisi(t'a)],,,,,,,,,,,,,,,1,,1,,,,,,,,,
Transition,(2)/minisI(t'aa)/,[minis(t'aa)],,,,,,,,,,,,,,,,,,,,,,,,,,
Transition,(2)/minisI(t'aa)/,[minisi(t'aa)],,,,,,,,,,,,,,,1,,,,,,,,,,,
Transition,(2)/minisI(t'aa)/,[minis(t'a)],,,,,,,,,,,,,,,,,1,,,,,,,,,
Transition,(2)/minisi(t'aa)/,[mini(s'ita)],,,,,,,,,,,,,,,,,1,1,,,,,,,,
Transition,(2)/minisi(t'aa)/,[minisi(t'a)],,,,,,,,,,,,,,,,,1,,,,,,,,,
Transition,(2)/minisi(t'aa)/,[minis(t'aa)],,,,,,,,,,,,,,1,,,,,,,,,,,,
Transition,(2)/minisi(t'aa)/,[minisi(t'aa)],,,,,,,,,,,,,,,,,,,,,,,,,,
Transition,(2)/minisi(t'aa)/,[minis(t'a)],,,,,,,,,,,,,,1,,,1,,,,,,,,,
Transition,(2)/mini(s'Ita)/,[mini(s'ita)],,,,,,,,,,,,,,,1,,,,,,,,,,,
Transition,(2)/mini(s'Ita)/,[minisi(t'a)],,,,,,,,,,,,,,,1,,,1,,,,,,,,
Transition,(2)/mini(s'Ita)/,[minis(t'aa)],,,,,,,,,,,,,,,,1,,1,,,,,,,,
Transition,(2)/mini(s'Ita)/,[minisi(t'aa)],,,,,,,,,,,,,,,1,1,,1,,,,,,,,
Transition,(2)/mini(s'Ita)/,[minis(t'a)],,,,,,,,,,,,,,,,,,1,,,,,,,,
Transition,(2)/minisI(t'a)/,[mini(s'ita)],,,,,,,,,,,,,,,1,,,1,,,,,,,,
Transition,(2)/minisI(t'a)/,[minisi(t'a)],,,,,,,,,,,,,,,1,,,,,,,,,,,
Transition,(2)/minisI(t'a)/,[minis(t'aa)],,,,,,,,,,,,,,,,1,,,,,,,,,,
Transition,(2)/minisI(t'a)/,[minisi(t'aa)],,,,,,,,,,,,,,,1,1,,,,,,,,,,
Transition,(2)/minisI(t'a)/,[minis(t'a)],,,,,,,,,,,,,,,,,,,,,,,,,,
*Transition,[k'ust3m3] (ignoring first foot),/kasi(t'oma)/,,,,,,,,,,,,,,,,,,,,1,,,,,,
Transition,[k'ust3m3] (ignoring first foot),/kasito(m'a)/,,,,,,,,,,,,,,,,,,,,1,,,1,,,
Transition,[k'ust3m3] (ignoring first foot),/kasito(m'aa)/,,1,,,,,,,,,,,,,,,,,,1,,,,,,
Transition,[k'ust3m3] (ignoring first foot),/kasitO(m'a)/,,,,,1,,,,,,,,,,,,,,,,1,,1,,,
Transition,[k'ust3m3] (ignoring first foot),/kasitO(m'aa)/,,1,,,1,,,,,,,,,,,,,,,,1,,,,,
Transition,[k'ust3m3] (ignoring first foot),/kasi(t'Oma)/,,,,,1,,,,,,,,,,,,,,,1,1,1,,,,
Transition,/kasi(t'oma)/,|kasitoma|,,,,,,,,,,,,,,,,,,,,,,,,,,
Transition,/kasi(t'oma)/,|kasitOma|,,,,,,,,1,,,,,,,,,,,,,,,,,,
Transition,/kasi(t'oma)/,|kasitomaa|,,,,,,,1,,,,,,,,,,,,,,,,,,,
Transition,/kasi(t'oma)/,|kasitOmaa|,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Transition,/kasito(m'a)/,|kasitoma|,,,,,,,,,,,,,,,,,,,,,,,,,,
Transition,/kasito(m'a)/,|kasitOma|,,,,,,,,1,,,,,,,,,,,,,,,,,,
Transition,/kasito(m'a)/,|kasitomaa|,,,,,,,1,,,,,,,,,,,,,,,,,,,
Transition,/kasito(m'a)/,|kasitOmaa|,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Transition,/kasito(m'aa)/,|kasitoma|,,,,,,1,,,,,,,,,,,,,,,,,,,,
Transition,/kasito(m'aa)/,|kasitOma|,,,,,,1,,1,,,,,,,,,,,,,,,,,,
Transition,/kasito(m'aa)/,|kasitomaa|,,,,,,,,,,,,,,,,,,,,,,,,,,
Transition,/kasito(m'aa)/,|kasitOmaa|,,,,,,,,1,,,,,,,,,,,,,,,,,,
Transition,/kasitO(m'a)/,|kasitoma|,,,,,,,,,1,,,,,,,,,,,,,,,,,
Transition,/kasitO(m'a)/,|kasitOma|,,,,,,,,,,,,,,,,,,,,,,,,,,
Transition,/kasitO(m'a)/,|kasitomaa|,,,,,,,1,,1,,,,,,,,,,,,,,,,,
Transition,/kasitO(m'a)/,|kasitOmaa|,,,,,,,1,,,,,,,,,,,,,,,,,,,
Transition,/kasitO(m'aa)/,|kasitoma|,,,,,,1,,,1,,,,,,,,,,,,,,,,,
Transition,/kasitO(m'aa)/,|kasitOma|,,,,,,1,,,,,,,,,,,,,,,,,,,,
Transition,/kasitO(m'aa)/,|kasitomaa|,,,,,,,,,1,,,,,,,,,,,,,,,,,
Transition,/kasitO(m'aa)/,|kasitOmaa|,,,,,,,,,,,,,,,,,,,,,,,,,,
Transition,/kasi(t'Oma)/,|kasitoma|,,,,,,,,,1,,,,,,,,,,,,,,,,,
Transition,/kasi(t'Oma)/,|kasitOma|,,,,,,,,,,,,,,,,,,,,,,,,,,
Transition,/kasi(t'Oma)/,|kasitomaa|,,,,,,,1,,1,,,,,,,,,,,,,,,,,
Transition,/kasi(t'Oma)/,|kasitOmaa|,,,,,,,1,,,,,,,,,,,,,,,,,,,
Transition,|kasitoma|,(2)/kasi(t'oma)/,,,,,,,,,,,,,,,,,,,,1,,,,,,
Transition,|kasitoma|,(2)/kasito(m'a)/,,,,,,,,,,,,,,,,,,,,1,,,1,,,
Transition,|kasitoma|,(2)/kasito(m'aa)/,,,,,,,,,,,,1,,,,,,,,1,,,,,,
Transition,|kasitoma|,(2)/kasitO(m'a)/,,,,,,,,,,1,,,,,,,,,,,1,,1,,,
Transition,|kasitoma|,(2)/kasitO(m'aa)/,,,,,,,,,,1,,1,,,,,,,,,1,,,,,
Transition,|kasitoma|,(2)/kasi(t'Oma)/,,,,,,,,,,1,,,,,,,,,,1,1,1,,,,
Transition,|kasitOma|,(2)/kasi(t'oma)/,,,,,,,,,,,1,,,,,,,,,1,,,,,,
Transition,|kasitOma|,(2)/kasito(m'a)/,,,,,,,,,,,1,,,,,,,,,1,,,1,,,
Transition,|kasitOma|,(2)/kasito(m'aa)/,,,,,,,,,,,1,1,,,,,,,,1,,,,,,
Transition,|kasitOma|,(2)/kasitO(m'a)/,,,,,,,,,,,,,,,,,,,,,1,,1,,,
Transition,|kasitOma|,(2)/kasitO(m'aa)/,,,,,,,,,,,,1,,,,,,,,,1,,,,,
Transition,|kasitOma|,(2)/kasi(t'Oma)/,,,,,,,,,,,,,,,,,,,,1,1,1,,,,
Transition,|kasitomaa|,(2)/kasi(t'oma)/,,,,,,,,,,,,,1,,,,,,,1,,,,,,
Transition,|kasitomaa|,(2)/kasito(m'a)/,,,,,,,,,,,,,1,,,,,,,1,,,1,,,
Transition,|kasitomaa|,(2)/kasito(m'aa)/,,,,,,,,,,,,,,,,,,,,1,,,,,,
Transition,|kasitomaa|,(2)/kasitO(m'a)/,,,,,,,,,,1,,,1,,,,,,,,1,,1,,,
Transition,|kasitomaa|,(2)/kasitO(m'aa)/,,,,,,,,,,1,,,,,,,,,,,1,,,,,
Transition,|kasitomaa|,(2)/kasi(t'Oma)/,,,,,,,,,,1,,,1,,,,,,,1,1,1,,,,
Transition,|kasitOmaa|,(2)/kasi(t'oma)/,,,,,,,,,,,1,,1,,,,,,,1,,,,,,
Transition,|kasitOmaa|,(2)/kasito(m'a)/,,,,,,,,,,,1,,1,,,,,,,1,,,1,,,
Transition,|kasitOmaa|,(2)/kasito(m'aa)/,,,,,,,,,,,1,,,,,,,,,1,,,,,,
Transition,|kasitOmaa|,(2)/kasitO(m'a)/,,,,,,,,,,,,,1,,,,,,,,1,,1,,,
Transition,|kasitOmaa|,(2)/kasitO(m'aa)/,,,,,,,,,,,,,,,,,,,,,1,,,,,
Transition,|kasitOmaa|,(2)/kasi(t'Oma)/,,,,,,,,,,,,,1,,,,,,,1,1,1,,,,
Transition,(2)/kasi(t'oma)/,[kasi(t'oma)],,,,,,,,,,,,,,,,,,,,,,,,,,
Transition,(2)/kasi(t'oma)/,[kasito(m'a)],,,,,,,,,,,,,,,,,,1,,,,,,,,
Transition,(2)/kasi(t'oma)/,[kasito(m'aa)],,,,,,,,,,,,,,,,1,,1,,,,,,,,
Transition,(2)/kasi(t'oma)/,[kasit(m'a)],,,,,,,,,,,,,,1,,,,1,,,,,,,,
Transition,(2)/kasi(t'oma)/,[kasit(m'aa)],,,,,,,,,,,,,,1,,1,,1,,,,,,,,
Transition,(2)/kasito(m'a)/,[kasi(t'oma)],,,,,,,,,,,,,,,,,,1,,,,,,,,
Transition,(2)/kasito(m'a)/,[kasito(m'a)],,,,,,,,,,,,,,,,,,,,,,,,,,
Transition,(2)/kasito(m'a)/,[kasito(m'aa)],,,,,,,,,,,,,,,,1,,,,,,,,,,
Transition,(2)/kasito(m'a)/,[kasit(m'a)],,,,,,,,,,,,,,1,,,,,,,,,,,,
Transition,(2)/kasito(m'a)/,[kasit(m'aa)],,,,,,,,,,,,,,1,,1,,,,,,,,,,
Transition,(2)/kasito(m'aa)/,[kasi(t'oma)],,,,,,,,,,,,,,,,,1,1,,,,,,,,
Transition,(2)/kasito(m'aa)/,[kasito(m'a)],,,,,,,,,,,,,,,,,1,,,,,,,,,
Transition,(2)/kasito(m'aa)/,[kasito(m'aa)],,,,,,,,,,,,,,,,,,,,,,,,,,
Transition,(2)/kasito(m'aa)/,[kasit(m'a)],,,,,,,,,,,,,,1,,,1,,,,,,,,,
Transition,(2)/kasito(m'aa)/,[kasit(m'aa)],,,,,,,,,,,,,,1,,,,,,,,,,,,
Transition,(2)/kasitO(m'a)/,[kasi(t'oma)],,,,,,,,,,,,,,,1,,,1,,,,,,,,
Transition,(2)/kasitO(m'a)/,[kasito(m'a)],,,,,,,,,,,,,,,1,,,,,,,,,,,
Transition,(2)/kasitO(m'a)/,[kasito(m'aa)],,,,,,,,,,,,,,,1,1,,,,,,,,,,
Transition,(2)/kasitO(m'a)/,[kasit(m'a)],,,,,,,,,,,,,,,,,,,,,,,,,,
Transition,(2)/kasitO(m'a)/,[kasit(m'aa)],,,,,,,,,,,,,,,,1,,,,,,,,,,
Transition,(2)/kasitO(m'aa)/,[kasi(t'oma)],,,,,,,,,,,,,,,1,,1,1,,,,,,,,
Transition,(2)/kasitO(m'aa)/,[kasito(m'a)],,,,,,,,,,,,,,,1,,1,,,,,,,,,
Transition,(2)/kasitO(m'aa)/,[kasito(m'aa)],,,,,,,,,,,,,,,1,,,,,,,,,,,
Transition,(2)/kasitO(m'aa)/,[kasit(m'a)],,,,,,,,,,,,,,,,,1,,,,,,,,,
Transition,(2)/kasitO(m'aa)/,[kasit(m'aa)],,,,,,,,,,,,,,,,,,,,,,,,,,
Transition,(2)/kasi(t'Oma)/,[kasi(t'oma)],,,,,,,,,,,,,,,1,,,,,,,,,,,
Transition,(2)/kasi(t'Oma)/,[kasito(m'a)],,,,,,,,,,,,,,,1,,,1,,,,,,,,
Transition,(2)/kasi(t'Oma)/,[kasito(m'aa)],,,,,,,,,,,,,,,1,1,,1,,,,,,,,
Transition,(2)/kasi(t'Oma)/,[kasit(m'a)],,,,,,,,,,,,,,,,,,1,,,,,,,,
Transition,(2)/kasi(t'Oma)/,[kasit(m'aa)],,,,,,,,,,,,,,,,1,,1,,,,,,,,
*Transition,[sEpt'Emb3] (ignoring first foot),/sepi(t'ema)/,,,,,,,,,,,,,,,,,,,,1,,,,,,
Transition,[sEpt'Emb3] (ignoring first foot),/sepite(m'a)/,1,,,,,,,,,,,,,,,,,,,1,,,1,,,
Transition,[sEpt'Emb3] (ignoring first foot),/sepite(m'aa)/,1,1,,,,,,,,,,,,,,,,,,1,,,,,,
Transition,[sEpt'Emb3] (ignoring first foot),/sepi(t'Ema)/,,,,,1,,,,,,,,,,,,,,,1,1,1,,,,
Transition,[sEpt'Emb3] (ignoring first foot),/sepitE(m'a)/,1,,,,1,,,,,,,,,,,,,,,,1,,1,,,
Transition,[sEpt'Emb3] (ignoring first foot),/sepitE(m'aa)/,1,1,,,1,,,,,,,,,,,,,,,,1,,,,,
Transition,/sepi(t'ema)/,|sepitema|,,,,,,,,,,,,,,,,,,,,,,,,,,
Transition,/sepi(t'ema)/,|sepitEma|,,,,,,,,1,,,,,,,,,,,,,,,,,,
Transition,/sepi(t'ema)/,|sepitemaa|,,,,,,,1,,,,,,,,,,,,,,,,,,,
Transition,/sepi(t'ema)/,|sepitEmaa|,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Transition,/sepite(m'a)/,|sepitema|,,,,,,,,,,,,,,,,,,,,,,,,,,
Transition,/sepite(m'a)/,|sepitEma|,,,,,,,,1,,,,,,,,,,,,,,,,,,
Transition,/sepite(m'a)/,|sepitemaa|,,,,,,,1,,,,,,,,,,,,,,,,,,,
Transition,/sepite(m'a)/,|sepitEmaa|,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Transition,/sepite(m'aa)/,|sepitema|,,,,,,1,,,,,,,,,,,,,,,,,,,,
Transition,/sepite(m'aa)/,|sepitEma|,,,,,,1,,1,,,,,,,,,,,,,,,,,,
Transition,/sepite(m'aa)/,|sepitemaa|,,,,,,,,,,,,,,,,,,,,,,,,,,
Transition,/sepite(m'aa)/,|sepitEmaa|,,,,,,,,1,,,,,,,,,,,,,,,,,,
Transition,/sepi(t'Ema)/,|sepitema|,,,,,,,,,1,,,,,,,,,,,,,,,,,
Transition,/sepi(t'Ema)/,|sepitEma|,,,,,,,,,,,,,,,,,,,,,,,,,,
Transition,/sepi(t'Ema)/,|sepitemaa|,,,,,,,1,,1,,,,,,,,,,,,,,,,,
Transition,/sepi(t'Ema)/,|sepitEmaa|,,,,,,,1,,,,,,,,,,,,,,,,,,,
Transition,/sepitE(m'a)/,|sepitema|,,,,,,,,,1,,,,,,,,,,,,,,,,,
Transition,/sepitE(m'a)/,|sepitEma|,,,,,,,,,,,,,,,,,,,,,,,,,,
Transition,/sepitE(m'a)/,|sepitemaa|,,,,,,,1,,1,,,,,,,,,,,,,,,,,
Transition,/sepitE(m'a)/,|sepitEmaa|,,,,,,,1,,,,,,,,,,,,,,,,,,,
Transition,/sepitE(m'aa)/,|sepitema|,,,,,,1,,,1,,,,,,,,,,,,,,,,,
Transition,/sepitE(m'aa)/,|sepitEma|,,,,,,1,,,,,,,,,,,,,,,,,,,,
Transition,/sepitE(m'aa)/,|sepitemaa|,,,,,,,,,1,,,,,,,,,,,,,,,,,
Transition,/sepitE(m'aa)/,|sepitEmaa|,,,,,,,,,,,,,,,,,,,,,,,,,,
Transition,|sepitema|,(2)/sepi(t'ema)/,,,,,,,,,,,,,,,,,,,,1,,,,,,
Transition,|sepitema|,(2)/sepite(m'a)/,,,,,,,,,,,,,,,,,,,,1,,,1,,,
Transition,|sepitema|,(2)/sepite(m'aa)/,,,,,,,,,,,,1,,,,,,,,1,,,,,,
Transition,|sepitema|,(2)/sepi(t'Ema)/,,,,,,,,,,1,,,,,,,,,,1,1,1,,,,
Transition,|sepitema|,(2)/sepitE(m'a)/,,,,,,,,,,1,,,,,,,,,,,1,,1,,,
Transition,|sepitema|,(2)/sepitE(m'aa)/,,,,,,,,,,1,,1,,,,,,,,,1,,,,,
Transition,|sepitEma|,(2)/sepi(t'ema)/,,,,,,,,,,,1,,,,,,,,,1,,,,,,
Transition,|sepitEma|,(2)/sepite(m'a)/,,,,,,,,,,,1,,,,,,,,,1,,,1,,,
Transition,|sepitEma|,(2)/sepite(m'aa)/,,,,,,,,,,,1,1,,,,,,,,1,,,,,,
Transition,|sepitEma|,(2)/sepi(t'Ema)/,,,,,,,,,,,,,,,,,,,,1,1,1,,,,
Transition,|sepitEma|,(2)/sepitE(m'a)/,,,,,,,,,,,,,,,,,,,,,1,,1,,,
Transition,|sepitEma|,(2)/sepitE(m'aa)/,,,,,,,,,,,,1,,,,,,,,,1,,,,,
Transition,|sepitemaa|,(2)/sepi(t'ema)/,,,,,,,,,,,,,1,,,,,,,1,,,,,,
Transition,|sepitemaa|,(2)/sepite(m'a)/,,,,,,,,,,,,,1,,,,,,,1,,,1,,,
Transition,|sepitemaa|,(2)/sepite(m'aa)/,,,,,,,,,,,,,,,,,,,,1,,,,,,
Transition,|sepitemaa|,(2)/sepi(t'Ema)/,,,,,,,,,,1,,,1,,,,,,,1,1,1,,,,
Transition,|sepitemaa|,(2)/sepitE(m'a)/,,,,,,,,,,1,,,1,,,,,,,,1,,1,,,
Transition,|sepitemaa|,(2)/sepitE(m'aa)/,,,,,,,,,,1,,,,,,,,,,,1,,,,,
Transition,|sepitEmaa|,(2)/sepi(t'ema)/,,,,,,,,,,,1,,1,,,,,,,1,,,,,,
Transition,|sepitEmaa|,(2)/sepite(m'a)/,,,,,,,,,,,1,,1,,,,,,,1,,,1,,,
Transition,|sepitEmaa|,(2)/sepite(m'aa)/,,,,,,,,,,,1,,,,,,,,,1,,,,,,
Transition,|sepitEmaa|,(2)/sepi(t'Ema)/,,,,,,,,,,,,,1,,,,,,,1,1,1,,,,
Transition,|sepitEmaa|,(2)/sepitE(m'a)/,,,,,,,,,,,,,1,,,,,,,,1,,1,,,
Transition,|sepitEmaa|,(2)/sepitE(m'aa)/,,,,,,,,,,,,,,,,,,,,,1,,,,,
Transition,(2)/sepi(t'ema)/,[sepi(t'ema)],,,,,,,,,,,,,,,,,,,,,,,,,,
Transition,(2)/sepi(t'ema)/,[sepite(m'a)],,,,,,,,,,,,,,,,,,1,,,,,,,,
Transition,(2)/sepi(t'ema)/,[sepite(m'aa)],,,,,,,,,,,,,,,,1,,1,,,,,,,,
Transition,(2)/sepi(t'ema)/,[sepit(m'a)],,,,,,,,,,,,,,1,,,,1,,,,,,,,
Transition,(2)/sepi(t'ema)/,[sepit(m'aa)],,,,,,,,,,,,,,1,,1,,1,,,,,,,,
Transition,(2)/sepite(m'a)/,[sepi(t'ema)],,,,,,,,,,,,,,,,,,1,,,,,,,,
Transition,(2)/sepite(m'a)/,[sepite(m'a)],,,,,,,,,,,,,,,,,,,,,,,,,,
Transition,(2)/sepite(m'a)/,[sepite(m'aa)],,,,,,,,,,,,,,,,1,,,,,,,,,,
Transition,(2)/sepite(m'a)/,[sepit(m'a)],,,,,,,,,,,,,,1,,,,,,,,,,,,
Transition,(2)/sepite(m'a)/,[sepit(m'aa)],,,,,,,,,,,,,,1,,1,,,,,,,,,,
Transition,(2)/sepite(m'aa)/,[sepi(t'ema)],,,,,,,,,,,,,,,,,1,1,,,,,,,,
Transition,(2)/sepite(m'aa)/,[sepite(m'a)],,,,,,,,,,,,,,,,,1,,,,,,,,,
Transition,(2)/sepite(m'aa)/,[sepite(m'aa)],,,,,,,,,,,,,,,,,,,,,,,,,,
Transition,(2)/sepite(m'aa)/,[sepit(m'a)],,,,,,,,,,,,,,1,,,1,,,,,,,,,
Transition,(2)/sepite(m'aa)/,[sepit(m'aa)],,,,,,,,,,,,,,1,,,,,,,,,,,,
Transition,(2)/sepi(t'Ema)/,[sepi(t'ema)],,,,,,,,,,,,,,,1,,,,,,,,,,,
Transition,(2)/sepi(t'Ema)/,[sepite(m'a)],,,,,,,,,,,,,,,1,,,1,,,,,,,,
Transition,(2)/sepi(t'Ema)/,[sepite(m'aa)],,,,,,,,,,,,,,,1,1,,1,,,,,,,,
Transition,(2)/sepi(t'Ema)/,[sepit(m'a)],,,,,,,,,,,,,,,,,,1,,,,,,,,
